CATEGORIA_FINAL,CAT_ID
ACTIVIDAD FISICA SALUD,CAT-0001
ACTIVIDAD FISICA/DEPORTES,CAT-0002
ACTUARIA,CAT-0003
ADMINISTRACION DE EMPRESAS,CAT-0004
ADMINISTRACION DE LA SEGURIDAD,CAT-0005
ADMINISTRACION DEPORTIVA,CAT-0006
ADMINISTRACION EN CALIDAD,CAT-0007
ADMINISTRACION EN CONSTRUCCION,CAT-0008
ADMINISTRACION EN CONTROL INTERNO,CAT-0009
ADMINISTRACION EN EDUCACION,CAT-0010
ADMINISTRACION EN SALUD,CAT-0011
ADMINISTRACION FINANCIERA,CAT-0012
ADMINISTRACION INSTITUCIONAL,CAT-0013
ADMINISTRACION PUBLICA,CAT-0014
ADMINISTRACION TURISMO,CAT-0015
AGROINDUSTRIA,CAT-0016
AGRONEGOCIOS,CAT-0017
ALTA GERENCIA Y DIRECCION,CAT-0018
ANALITICA DE DATOS,CAT-0019
ANESTESIOLOGIA,CAT-0020
ANTROPOLOGIA,CAT-0021
ARCHIVISTICA,CAT-0022
ARQUITECTURA,CAT-0023
ARQUITECTURA EMPRESARIAL,CAT-0024
ARTES ESCENICAS,CAT-0025
ARTES Y CULTURA,CAT-0026
AUDITORIA,CAT-0027
AUDITORIA AMBIENTAL,CAT-0028
AUDITORIA EN SALUD,CAT-0029
AUTOMATIZACION INDUSTRIAL,CAT-0030
BIG DATA,CAT-0031
BIOETICA,CAT-0032
BIOQUIMICA,CAT-0033
BIOTECNOLOGIA,CAT-0034
CARDIOLOGIA,CAT-0035
CIENCIA POLITICA,CAT-0036
CIENCIAS ADMINISTRATIVAS,CAT-0037
CIENCIAS AGROPECUARIAS,CAT-0038
CIENCIAS BIOLOGICAS,CAT-0039
CIENCIAS BIOMEDICAS,CAT-0040
CIENCIAS MILITARES,CAT-0041
CIENCIAS SOCIALES Y HUMANIDADES,CAT-0042
CIENCIAS TIERRA,CAT-0043
CIRUGIA,CAT-0044
COMERCIO ELECTRONICO,CAT-0045
COMERCIO INTERNACIONAL,CAT-0046
COMUNICACION CORPORATIVA,CAT-0047
COMUNICACION DIGITAL,CAT-0048
COMUNICACION EN EDUCACION,CAT-0049
COMUNICACION ESTRATEGICA,CAT-0050
COMUNICACION PARA EL DESARROLLO,CAT-0051
COMUNICACION Y PERIODISMO,CAT-0052
CONFLICTO PAZ,CAT-0053
CONSTRUCCION,CAT-0054
CONSTRUCCIÓN Y ESTRUCTURAS,CAT-0055
CONTABILIDAD Y AUDITORIA,CAT-0056
CONTRATACION ESTATAL,CAT-0057
CONTROL INTERNO,CAT-0058
CRIMINOLOGIA,CAT-0059
DERECHO ADMINISTRATIVO,CAT-0060
DERECHO AGRARIO,CAT-0061
DERECHO AMBIENTAL,CAT-0062
DERECHO CIVIL,CAT-0063
DERECHO COMERCIAL,CAT-0064
DERECHO CONSTITUCIONAL,CAT-0065
DERECHO CONTRACTUAL,CAT-0066
DERECHO COOPERATIVO Y SOLIDARIO,CAT-0067
DERECHO DE FAMILIA,CAT-0068
DERECHO DISCIPLINARIO,CAT-0069
DERECHO ECONOMICO,CAT-0070
DERECHO EMPRESARIAL,CAT-0071
DERECHO FINANCIERO,CAT-0072
DERECHO INFORMATICO,CAT-0073
DERECHO INTERNACIONAL,CAT-0074
DERECHO LABORAL,CAT-0075
DERECHO MARITIMO Y TRANSPORTE,CAT-0076
DERECHO MEDICO Y RESPONSABILIDAD,CAT-0077
DERECHO MINERO ENERGETICO,CAT-0078
DERECHO NOTARIAL Y REGISTRAL,CAT-0079
DERECHO PENAL,CAT-0080
DERECHO PROCESAL,CAT-0081
DERECHO PUBLICO,CAT-0082
DERECHO TRIBUTARIO,CAT-0083
DERECHO URBANISTICO E INMOBILIARIO,CAT-0084
