PROGRAMA_EAFIT,PROG_ID
ESPECIALIZACIÓN EN ADMINISTRACIÓN DE NEGOCIOS,EAFIT-900001
ESPECIALIZACIÓN EN AGRICULTURA INTELIGENTE,EAFIT-900002
ESPECIALIZACIÓN EN AGROQUÍMICA,EAFIT-900003
ESPECIALIZACIÓN EN CIBERSEGURIDAD,EAFIT-900004
ESPECIALIZACIÓN EN CIENCIA DE LOS DATOS Y ANALÍTICA,EAFIT-900005
ESPECIALIZACIÓN EN DERECHO HUMANOS,EAFIT-900006
ESPECIALIZACIÓN EN DERECHO Y SOSTENIBILIDAD,EAFIT-900007
ESPECIALIZACIÓN EN ÉTICA DIGITAL,EAFIT-900008
ESPECIALIZACIÓN EN GERENCIA INTEGRAL PARA AGRONEGOCIOS,EAFIT-900009
ESPECIALIZACIÓN EN GERENCIA SOCIAL,EAFIT-900010
ESPECIALIZACIÓN EN GERENCIA TECNOLÓGICA,EAFIT-900011
ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES Y CAMBIO GLOBAL,EAFIT-900012
ESPECIALIZACIÓN EN GESTIÓN TRIBUTARIA INTERNACIONAL,EAFIT-900013
ESPECIALIZACIÓN EN INGENIERÍA DE DATOS,EAFIT-900014
ESPECIALIZACIÓN EN INTELIGENCIA ARTIFICIAL,EAFIT-900015
ESPECIALIZACIÓN EN MARKETING DIGITAL,EAFIT-900016
ESPECIALIZACIÓN EN MATEMATICAS E INTELIGENCIA ARTIFICIAL,EAFIT-900017
ESPECIALIZACIÓN EN OPTIMIZACIÓN,EAFIT-900018
ESPECIALIZACIÓN EN PROPIEDAD INTELECTUAL,EAFIT-900019
ESPECIALIZACIÓN EN SERVICIO Y EXPERIENCIA,EAFIT-900020
MAESTRÍA EN BIOTECNOLOGÍA,EAFIT-900021
MAESTRÍA EN DIRECCIÓN DE MARKETING DIGITAL,EAFIT-900022
MAESTRÍA EN ENERGÍA SOSTENIBLE,EAFIT-900023
MAESTRÍA EN GESTIÓN DEL RIESGO DE DESASTRES Y CAMBIO GLOBAL,EAFIT-900024
MAESTRÍA EN INTELIGENCIA ARTIFICIAL,EAFIT-900025
MAESTRÍA EN LIDERAZGO EDUCATIVO,EAFIT-900026
MAESTRÍA EN MARCA Y PUBLICIDAD,EAFIT-900027
ADMINISTRACION DE NEGOCIOS,EAFIT-900028
CONTADURIA PUBLICA,EAFIT-900029
MERCADEO,EAFIT-900030
FINANZAS,EAFIT-900031
NEGOCIOS INTERNACIONALES,EAFIT-900032
DERECHO,EAFIT-900033
ECONOMIA,EAFIT-900034
PSICOLOGIA,EAFIT-900035
CIENCIAS POLITICAS,EAFIT-900036
COMUNICACION SOCIAL,EAFIT-900037
INGENIERIA DE SISTEMAS,EAFIT-900038
INGENIERIA CIVIL,EAFIT-900039
INGENIERIA MECANICA,EAFIT-900040
INGENIERIA DE PRODUCCION,EAFIT-900041
INGENIERIA DE PROCESOS,EAFIT-900042
INGENIERIA DE DISENO DE PRODUCTO,EAFIT-900043
INGENIERIA FISICA,EAFIT-900044
INGENIERIA MATEMATICA,EAFIT-900045
INGENIERIA AGRONOMICA,EAFIT-900046
BIOLOGIA,EAFIT-900047
GEOLOGIA,EAFIT-900048
MUSICA,EAFIT-900049
LITERATURA,EAFIT-900050
DISENO INTERACTIVO,EAFIT-900051
DISENO URBANO Y GESTION DEL HABITAT,EAFIT-900052
